INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 0', 'MODELPHUKIEN0', 'SERIPHUKIEN0', '2000000', '1');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 44', 'MODELPHUKIEN44', 'SERIPHUKIEN44', '2000000', '89');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 45', 'MODELPHUKIEN45', 'SERIPHUKIEN45', '2000000', '91');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 46', 'MODELPHUKIEN46', 'SERIPHUKIEN46', '2000000', '93');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 47', 'MODELPHUKIEN47', 'SERIPHUKIEN47', '2000000', '95');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 48', 'MODELPHUKIEN48', 'SERIPHUKIEN48', '2000000', '97');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 49', 'MODELPHUKIEN49', 'SERIPHUKIEN49', '2000000', '99');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 50', 'MODELPHUKIEN50', 'SERIPHUKIEN50', '2000000', '101');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 51', 'MODELPHUKIEN51', 'SERIPHUKIEN51', '2000000', '103');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 52', 'MODELPHUKIEN52', 'SERIPHUKIEN52', '2000000', '105');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 53', 'MODELPHUKIEN53', 'SERIPHUKIEN53', '2000000', '107');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 54', 'MODELPHUKIEN54', 'SERIPHUKIEN54', '2000000', '109');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 55', 'MODELPHUKIEN55', 'SERIPHUKIEN55', '2000000', '111');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 56', 'MODELPHUKIEN56', 'SERIPHUKIEN56', '2000000', '113');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 57', 'MODELPHUKIEN57', 'SERIPHUKIEN57', '2000000', '115');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 58', 'MODELPHUKIEN58', 'SERIPHUKIEN58', '2000000', '117');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 59', 'MODELPHUKIEN59', 'SERIPHUKIEN59', '2000000', '119');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 60', 'MODELPHUKIEN60', 'SERIPHUKIEN60', '2000000', '121');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 61', 'MODELPHUKIEN61', 'SERIPHUKIEN61', '2000000', '123');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 62', 'MODELPHUKIEN62', 'SERIPHUKIEN62', '2000000', '125');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 63', 'MODELPHUKIEN63', 'SERIPHUKIEN63', '2000000', '127');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 64', 'MODELPHUKIEN64', 'SERIPHUKIEN64', '2000000', '129');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 65', 'MODELPHUKIEN65', 'SERIPHUKIEN65', '2000000', '131');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 66', 'MODELPHUKIEN66', 'SERIPHUKIEN66', '2000000', '133');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 67', 'MODELPHUKIEN67', 'SERIPHUKIEN67', '2000000', '135');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 68', 'MODELPHUKIEN68', 'SERIPHUKIEN68', '2000000', '137');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 69', 'MODELPHUKIEN69', 'SERIPHUKIEN69', '2000000', '139');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 70', 'MODELPHUKIEN70', 'SERIPHUKIEN70', '2000000', '141');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 71', 'MODELPHUKIEN71', 'SERIPHUKIEN71', '2000000', '143');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 72', 'MODELPHUKIEN72', 'SERIPHUKIEN72', '2000000', '145');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 73', 'MODELPHUKIEN73', 'SERIPHUKIEN73', '2000000', '147');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 74', 'MODELPHUKIEN74', 'SERIPHUKIEN74', '2000000', '149');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 75', 'MODELPHUKIEN75', 'SERIPHUKIEN75', '2000000', '151');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 76', 'MODELPHUKIEN76', 'SERIPHUKIEN76', '2000000', '153');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 77', 'MODELPHUKIEN77', 'SERIPHUKIEN77', '2000000', '155');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 78', 'MODELPHUKIEN78', 'SERIPHUKIEN78', '2000000', '157');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 79', 'MODELPHUKIEN79', 'SERIPHUKIEN79', '2000000', '159');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 80', 'MODELPHUKIEN80', 'SERIPHUKIEN80', '2000000', '161');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 81', 'MODELPHUKIEN81', 'SERIPHUKIEN81', '2000000', '163');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 82', 'MODELPHUKIEN82', 'SERIPHUKIEN82', '2000000', '165');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 83', 'MODELPHUKIEN83', 'SERIPHUKIEN83', '2000000', '167');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 84', 'MODELPHUKIEN84', 'SERIPHUKIEN84', '2000000', '169');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 85', 'MODELPHUKIEN85', 'SERIPHUKIEN85', '2000000', '171');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 86', 'MODELPHUKIEN86', 'SERIPHUKIEN86', '2000000', '173');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 87', 'MODELPHUKIEN87', 'SERIPHUKIEN87', '2000000', '175');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 88', 'MODELPHUKIEN88', 'SERIPHUKIEN88', '2000000', '177');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 89', 'MODELPHUKIEN89', 'SERIPHUKIEN89', '2000000', '179');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 90', 'MODELPHUKIEN90', 'SERIPHUKIEN90', '2000000', '181');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 91', 'MODELPHUKIEN91', 'SERIPHUKIEN91', '2000000', '183');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 92', 'MODELPHUKIEN92', 'SERIPHUKIEN92', '2000000', '185');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 93', 'MODELPHUKIEN93', 'SERIPHUKIEN93', '2000000', '187');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 94', 'MODELPHUKIEN94', 'SERIPHUKIEN94', '2000000', '189');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 95', 'MODELPHUKIEN95', 'SERIPHUKIEN95', '2000000', '191');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 96', 'MODELPHUKIEN96', 'SERIPHUKIEN96', '2000000', '193');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 97', 'MODELPHUKIEN97', 'SERIPHUKIEN97', '2000000', '195');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 98', 'MODELPHUKIEN98', 'SERIPHUKIEN98', '2000000', '197');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 99', 'MODELPHUKIEN99', 'SERIPHUKIEN99', '2000000', '199');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 100', 'MODELPHUKIEN100', 'SERIPHUKIEN100', '2000000', '201');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 101', 'MODELPHUKIEN101', 'SERIPHUKIEN101', '2000000', '203');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 102', 'MODELPHUKIEN102', 'SERIPHUKIEN102', '2000000', '205');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 103', 'MODELPHUKIEN103', 'SERIPHUKIEN103', '2000000', '207');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 104', 'MODELPHUKIEN104', 'SERIPHUKIEN104', '2000000', '209');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 105', 'MODELPHUKIEN105', 'SERIPHUKIEN105', '2000000', '211');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 106', 'MODELPHUKIEN106', 'SERIPHUKIEN106', '2000000', '213');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 107', 'MODELPHUKIEN107', 'SERIPHUKIEN107', '2000000', '215');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 108', 'MODELPHUKIEN108', 'SERIPHUKIEN108', '2000000', '217');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 109', 'MODELPHUKIEN109', 'SERIPHUKIEN109', '2000000', '219');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 110', 'MODELPHUKIEN110', 'SERIPHUKIEN110', '2000000', '221');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 111', 'MODELPHUKIEN111', 'SERIPHUKIEN111', '2000000', '223');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 112', 'MODELPHUKIEN112', 'SERIPHUKIEN112', '2000000', '225');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 113', 'MODELPHUKIEN113', 'SERIPHUKIEN113', '2000000', '227');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 114', 'MODELPHUKIEN114', 'SERIPHUKIEN114', '2000000', '229');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 115', 'MODELPHUKIEN115', 'SERIPHUKIEN115', '2000000', '231');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 116', 'MODELPHUKIEN116', 'SERIPHUKIEN116', '2000000', '233');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 117', 'MODELPHUKIEN117', 'SERIPHUKIEN117', '2000000', '235');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 118', 'MODELPHUKIEN118', 'SERIPHUKIEN118', '2000000', '237');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 119', 'MODELPHUKIEN119', 'SERIPHUKIEN119', '2000000', '239');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 120', 'MODELPHUKIEN120', 'SERIPHUKIEN120', '2000000', '241');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 121', 'MODELPHUKIEN121', 'SERIPHUKIEN121', '2000000', '243');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 122', 'MODELPHUKIEN122', 'SERIPHUKIEN122', '2000000', '245');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 123', 'MODELPHUKIEN123', 'SERIPHUKIEN123', '2000000', '247');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 124', 'MODELPHUKIEN124', 'SERIPHUKIEN124', '2000000', '249');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 125', 'MODELPHUKIEN125', 'SERIPHUKIEN125', '2000000', '251');
